Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
391.01,9.577287,0.1,Zirconium,2.67,2743309,41460642,0.06616658,311.8296525,287.463722,277.618296,385.0389523,331.3451099,368.8996839,407.5615135,323.041009,143.4471135,286.2104318,714.0442441,365.167393,490.9706615,213.0279293,384.1291898,406.42,428.943
474.23,15.0359,0.1,Zirconium,2.67,2742211,41460642,0.0661401,352.76925,320.2154,321.2872,417.2065587,373.37643,421.84823,464.87695,361.2513,143.5636449,301.9530389,774.9463388,388.7580503,490.9706615,214.9097329,443.9103657,355.42,379.15918
463.92,15.0359,0.1,Zirconium,2.67,2742211,41460642,0.0661401,352.76925,320.2154,321.2872,417.2065587,373.37643,421.84823,464.87695,361.2513,143.5636449,301.9530389,774.9463388,388.7580503,490.9706615,218.3142378,443.9103657,297.43,315.67438
464.15,15.0359,0.1,Zirconium,2.67,2742211,41460642,0.0661401,352.76925,320.2154,321.2872,417.2065587,373.37643,421.84823,464.87695,361.2513,143.5636449,301.9530389,774.9463388,388.7580503,490.9706615,221.3289897,473.4928032,296.11,278.87213
277.29,2.071746,0.1,Inconel,2.67,2744141,85592111.2,0.03206068,255.538095,242.430476,217.573968,340.8087992,273.5524442,296.0959362,328.753333,270.502222,143.2882297,226.2045555,418.7220041,282.6451177,490.9706615,219.8666627,494.4470298,410.48,428.943
271.17,2.068447,0.1,Inconel,2.67,2744141,85592111.2,0.03206068,255.5133525,242.410682,217.547576,340.7893582,273.5270419,296.0639359,328.7186935,270.479129,143.2881602,226.1987837,418.7012514,282.6346382,490.9706615,221.4509034,553.6119049,363.11,379.15918
274.01,2.719435,0.1,Inconel,2.67,2744099,85592111.2,0.03206019,260.3957625,246.31661,222.75548,344.6256305,278.5396495,302.3785195,335.5540675,275.036045,143.3018806,227.3380252,422.796942,284.702727,490.9706615,227.0982434,564.0890182,314.19,315.67438
274.68,2.386115,0.1,Inconel,2.67,2744121,85592111.2,0.03206045,257.8958625,244.31669,220.08892,342.6613757,275.9730855,299.1453155,332.0542075,272.702805,143.294854,226.7546347,420.6997148,283.6437793,490.9706615,231.1074432,567.1705221,304.08,278.87213
322.77,4.463594,0.1,Inconel,2.67,2743959,85592111.2,0.03205855,273.476955,256.781564,236.708752,354.9039594,291.9696738,319.2968618,353.867737,287.245158,143.3386968,230.3932472,433.7759626,290.2452655,490.9706615,239.8274009,592.4388542,427.91,428.943
286.24,5.558015,0.1,Inconel,2.67,2743850,85592111.2,0.03205727,281.6851125,263.34809,245.46412,361.3533824,300.3967155,329.9127455,365.3591575,294.906105,143.36184,232.312478,440.669178,293.7242648,490.9706615,240.6891534,610.9278777,353.5,379.15918
299.18,5.133328,0.1,Inconel,2.67,2743894,85592111.2,0.03205779,278.49996,260.799968,242.066624,358.8507019,297.1266256,325.7932816,360.899944,291.933296,143.3528555,231.5675304,437.9939122,292.3741421,490.9706615,254.4005845,609.0789753,321.8,315.67438
333.79,10.0985,0.1,Inconel,2.67,2743222,85592111.2,0.03204994,315.73875,290.591,281.788,388.1104605,335.35845,373.95545,413.03425,326.6895,143.4582043,240.2922712,469.3000976,308.1671427,490.9706615,258.9014314,406.42,307.73,278.87213
260.89,2.759428,0.1,Inconel,2.67,2744096,85592111.2,0.03206016,260.69571,246.556568,223.075424,344.8613092,278.8475956,302.7664516,335.973994,275.315996,143.3027239,227.4080331,423.0485956,284.8297894,490.9706615,249.2839006,355.42,430.3,424.75555
314.63,10.17882,0.1,Inconel,2.67,2743209,85592111.2,0.03204978,316.34115,291.07292,282.43056,388.5837863,335.976914,374.734554,413.87761,327.25174,143.4599141,240.4336802,469.8070299,308.4227652,490.9706615,238.5543078,297.43,351.92,370.74814
373.42,14.67282,0.1,Inconel,2.67,2742297,85592111.2,0.03203913,350.04615,318.03692,318.38256,415.0669283,370.580714,418.326354,461.06461,358.70974,143.5558676,248.3591301,498.1945633,322.7320838,490.9706615,233.445393,296.11,307.21,323.43756
406.1,19.57329,0.1,Inconel,2.67,2740968,85592111.2,0.0320236,386.799675,347.43974,357.58632,443.945398,408.314333,465.860913,512.519545,393.01303,143.6611602,257.0307659,529.2003431,338.3503002,490.9706615,258.0699223,430.3,305.4,281.71024
