Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w,Tmin (Mori),Tmin (Adler),Tmin (Dhir),Tmin (Lauer),Tmin (Freud),Tmin (shikha_7),Tmin (shikha_8),Tmin (shikha_9),Tmin (Brenson),Tmin (Henry),Tmin (Perenson),Tmin (Shikha),Tmin (Sakurai),Tmin (Henry_1atm),Tmin (exp_1atm),Tmin (exp2_1atm),Tmin (ANN_1atm)
667.5853432,0,2.509329,1018 carbon steel,6.68,2503871.8,1.62E+08,0.015455999,240,230,201,328.6,257.6,276,307,256,1026.81125,1856.253375,1365.696028,1667.484591,807.4566352,282.5473232,526.5193,367.6616328,364.3346
668.2604271,0,2.491218905,1018 carbon steel,6.68,2505127.937,1.62E+08,0.015463753,240,230,201,328.6,257.6,276,307,256,1021.460227,1846.208181,1360.395952,1660.441403,801.5797406,283.7141575,531.8442,405.8229773,385.87894
665.8976334,0,2.507517991,1018 carbon steel,6.68,2503997.2,1.62E+08,0.015456773,240,230,201,328.6,257.6,276,307,256,1026.276574,1855.243361,1365.166471,1666.781115,806.8641449,301.3608909,491.9079,482.1456662,472.81525
667.9228851,0,2.000435336,1018 carbon steel,6.68,2541166.03,1.62E+08,0.01568621,240,230,201,328.6,257.6,276,307,256,872.5774993,1573.557742,1212.654049,1461.758319,676.8539278,305.6236379,541.6064,491.9078706,502.26315
665.8976334,0,2.000435336,1018 carbon steel,6.68,2541166.03,1.62E+08,0.01568621,240,230,201,328.6,257.6,276,307,256,872.5774993,1573.557742,1212.654049,1461.758319,676.8539278,309.6769628,588.6424,560.2433013,549.39453
664.2099237,0,2.009490384,1018 carbon steel,6.68,2540462.553,1.62E+08,0.015681868,240,230,201,328.6,257.6,276,307,256,875.3970875,1579.248113,1215.457606,1465.574051,678.6445444,314.481585,616.1541,600.1795921,579.3213
651.7208716,0,2.007679374,1018 carbon steel,6.68,2540603.12,1.62E+08,0.015682735,240,230,201,328.6,257.6,276,307,256,874.8334052,1577.842584,1214.897148,1464.811401,678.2851227,325.176221,612.6042,591.3048608,634.16174
653.4085814,0,1.507840758,1018 carbon steel,6.68,2582164.25,1.62E+08,0.015939285,240,230,201,328.6,257.6,276,307,256,714.3158915,1284.110244,1054.826585,1243.604132,600.2854169,331.7117494,648.9906,365.6401663,363.02734
654.0836653,0,1.507840758,1018 carbon steel,6.68,2582164.25,1.62E+08,0.015939285,240,230,201,328.6,257.6,276,307,256,714.3158915,1283.763771,1054.826585,1243.604132,600.2854169,334.500077,631.2412,367.4890686,368.3275
596.7015341,0,1.511462777,1018 carbon steel,6.68,2581840.627,1.62E+08,0.015937288,240,230,201,328.6,257.6,276,307,256,715.5182483,1285.91948,1056.029818,1245.294526,600.7218829,340.6184092,657.8653,364.4075647,370.6541
565.9852168,0,1.507840758,1018 carbon steel,6.68,2582164.25,1.62E+08,0.015939285,240,230,201,328.6,257.6,276,307,256,714.3158915,511.2441371,1054.826585,1243.604132,600.2854169,229.9444759,380.0862566,332.359924,370.6541
524.4675572,0,1.502407729,1018 carbon steel,6.68,2582650.384,1.62E+08,0.015942286,240,230,201,328.6,257.6,276,307,256,712.5111589,1280.400017,1053.020392,1241.065789,599.6336748,229.9685013,367.6616328,381.0476858,395.0572
666.9133847,0,1.064017671,1018 carbon steel,6.68,2625054.784,1.62E+08,0.016204042,240,230,201,328.6,257.6,276,307,256,561.5142011,1002.483894,901.0787845,1023.457287,553.9936713,231.6262786,405.8229773,384.1291898,388.07532
661.8346285,0,1.053537292,1018 carbon steel,6.68,2626157.21,1.62E+08,0.016210847,240,230,201,328.6,257.6,276,307,256,557.7550204,995.6766719,897.2682878,1017.8862,552.474039,240.4249688,482.1456662,384.1291898,390.78342
662.6159756,0,1.05458533,1018 carbon steel,6.68,2626046.752,1.62E+08,0.016210165,240,230,201,328.6,257.6,276,307,256,558.1313026,996.2281222,897.6497886,1018.444242,552.6245872,244.9902171,491.9078706,443.9103657,422.0067
656.7558723,0,1.010567738,1018 carbon steel,6.68,2630727.922,1.62E+08,0.016239061,240,230,201,328.6,257.6,276,307,256,542.2562959,966.8485662,881.5380396,994.8232468,546.5629887,257.2445999,560.2433013,443.9103657,467.7225
655.7791885,0,1.007423624,1018 carbon steel,6.68,2631065.634,1.62E+08,0.016241146,240,230,201,328.6,257.6,276,307,256,541.1166851,964.7635492,880.3800751,993.1213315,546.1498983,270.0524348,600.1795921,473.4928032,497.9332
