ID,P0,P1,P2,P3,P4,P5,P6,v1,v2,v3
160,25,0.1,0.05,14,0.6,26,18,9023.03,76.5,3484.78
161,25,0.1,0.05,14,0.6,26,23,8996.04,64,3479.13
162,25,0.1,0.05,14,0.6,26,28,9172.59,46.5,3530.91
163,26,0.05,0.08,14,0.8,25,28,7485.73,1,3038.71
164,25,0.1,0.05,14,0.6,26,13,9022.38,76,3484.58
165,25,0.05,0.05,8,0.8,25,23,8585.37,92,2999.26
166,25,0.05,0.05,8,0.8,25,18,8449.14,103,2958.97
167,25,0.05,0.05,8,0.8,25,13,8447.97,103,2958.62
168,25,0.05,0.05,8,0.8,25,28,8920.99,49,3098.09
169,25,0.1,0.05,5,0.7,25,28,8865.99,80,2866.69
170,25,0.1,0.05,5,0.7,25,23,8632.53,116,2799.21
171,25,0.1,0.05,5,0.7,25,18,8589.66,134.5,2786.57
172,25,0.1,0.05,5,0.7,25,13,8588.79,134.5,2786.32
173,23,0.2,0.08,14,0.7,27,13,10098.97,511.5,3838.04
174,23,0.2,0.08,14,0.7,27,18,10100.3,511.5,3838.49
175,24,0.15,0.11,14,0.9,26,13,8191.4,281.5,3258.17
176,24,0.15,0.11,14,0.9,26,18,8193.72,281.5,3258.92
177,23,0.2,0.08,14,0.7,27,23,10172.01,493.5,3862.93
178,24,0.15,0.11,14,0.9,26,23,8535.97,291.5,3363.45
179,23,0.2,0.08,14,0.7,27,28,10444.26,423,3951.73
180,24,0.15,0.11,14,0.9,26,28,9095.54,154.5,3535.07
181,23,0.1,0.05,2,0.9,27,23,10071.23,583,3136.16
182,23,0.1,0.05,2,0.9,27,18,9761.81,601.5,3043.29
183,25,0.15,0.05,2,0.6,25,28,8967.16,115.5,2670.79
184,25,0.15,0.05,2,0.6,25,23,8810.45,150.5,2625.85
185,23,0.1,0.05,2,0.9,27,13,9759.91,602.5,3042.69
186,25,0.15,0.05,2,0.6,25,18,8838.74,172.5,2634.11
187,25,0.15,0.05,2,0.6,25,13,8838.13,173,2633.94
188,26,0.05,0.05,2,0.7,28,28,7784.01,70.5,2351.46
189,26,0.05,0.05,2,0.7,28,23,7561.56,105,2289.5
190,26,0.05,0.05,2,0.7,28,18,7518.49,117.5,2277.59
191,26,0.05,0.05,2,0.7,28,13,7517.71,118,2277.38
192,24,0.2,0.11,11,0.8,26,13,8626.96,321,3146.24
193,24,0.2,0.11,11,0.8,26,23,8822.34,316.5,3203.43
194,24,0.2,0.11,11,0.8,26,18,8628.64,321,3146.77
195,24,0.2,0.11,11,0.8,26,28,9197.41,191.5,3321.71
196,23,0.1,0.05,2,0.9,27,28,10572.83,465.5,3294.33
197,25,0.2,0.14,14,0.8,28,28,8414.01,0,3244.55
198,25,0.2,0.14,8,0.9,25,13,7415.32,69.5,2561.69
199,25,0.2,0.14,14,0.8,28,23,8037.65,37,3128.22
200,25,0.2,0.14,8,0.9,25,18,7417.42,68.5,2562.32
201,25,0.2,0.14,8,0.9,25,23,7799.35,84.5,2670.39
202,25,0.2,0.14,14,0.8,28,18,7836.68,37.5,3070.86
203,25,0.2,0.14,8,0.9,25,28,8296.5,1,2822.13
204,25,0.2,0.14,14,0.8,28,13,7835.05,37.5,3070.36
205,26,0.2,0.11,11,0.6,25,18,7483.15,42.5,2746.01
206,23,0.2,0.08,11,0.7,28,18,9924.59,533,3589.8
207,26,0.2,0.11,11,0.6,25,13,7482.42,42,2745.8
208,23,0.2,0.08,11,0.7,28,13,9923.29,533.5,3589.37
209,23,0.2,0.08,11,0.7,28,28,10260.98,442.5,3699.03
210,26,0.2,0.11,11,0.6,25,28,7659.81,10,2798.3
211,23,0.2,0.08,11,0.7,28,23,9994.01,517,3612.91
212,26,0.2,0.11,11,0.6,25,23,7487.77,31,2748.14
213,25,0.05,0.05,2,0.8,28,23,8283.77,136.5,2531.16
214,25,0.05,0.05,2,0.8,28,28,8610.28,82,2625.67
215,22,0.2,0.08,2,0.9,27,13,9965.08,752.5,3096.4
216,22,0.2,0.08,2,0.9,27,28,10860.46,640,3386.06
217,22,0.2,0.08,2,0.9,27,18,9967.56,752.5,3097.22
218,22,0.2,0.08,2,0.9,27,23,10325.21,739,3205.85
219,25,0.05,0.05,2,0.8,28,13,8148.4,156,2491.29
220,25,0.05,0.05,2,0.8,28,18,8149.57,155.5,2491.63
221,25,0.2,0.14,5,0.9,26,23,7648.87,119.5,2435.03
