#,P1,P2,P3,P4,P5,P6,v1,v2,v3
162,26,0.05,0.14,8,0.8,23,6104.6,32,2249.56
163,26,0.05,0.14,8,0.8,28,6441.83,0,2344.92
164,22,0.15,0.05,2,0.9,13,11813.14,739.5,3627.86
165,22,0.15,0.05,2,0.9,18,11815.65,739.5,3628.65
166,22,0.15,0.05,2,0.9,23,12099.76,722,3718.58
167,22,0.15,0.05,2,0.9,28,12695.75,635,3907.8
168,26,0.05,0.05,2,0.9,23,7920.62,99,2376.45
169,26,0.05,0.05,2,0.9,28,8384.81,41.5,2506.26
170,26,0.05,0.05,2,0.9,13,7609.13,110.5,2288.21
171,26,0.05,0.05,2,0.9,18,7610.71,110.5,2288.64
172,24,0.15,0.11,2,0.7,18,8337.36,487.5,2469.16
173,25,0.05,0.08,5,0.9,28,8039.29,27,2638.44
174,24,0.15,0.11,2,0.7,13,8335.89,487.5,2468.74
175,24,0.15,0.11,2,0.7,28,8710.45,319,2576.51
176,24,0.15,0.11,2,0.7,23,8423.41,465.5,2493.61
177,25,0.1,0.08,2,0.8,13,7657.73,156.5,2295.59
178,25,0.1,0.08,2,0.8,18,7659.27,156,2296.02
179,25,0.1,0.08,2,0.8,23,7836.72,143.5,2347
180,25,0.1,0.08,2,0.8,28,8204.37,61.5,2451.68
181,24,0.1,0.11,5,0.8,28,8368.78,237,2729.8
182,24,0.1,0.11,5,0.8,23,7961.86,397.5,2615.07
183,24,0.1,0.11,5,0.8,18,7775.47,408,2554.11
184,24,0.1,0.11,5,0.8,13,7773.6,409,2553.56
185,23,0.2,0.14,2,0.6,28,9522.81,566.5,2788.83
186,25,0.05,0.08,5,0.9,13,7180.91,109.5,2390.15
187,23,0.2,0.14,2,0.6,23,9301.29,649,2723.95
188,23,0.2,0.14,2,0.6,18,9260.89,689.5,2713.66
189,25,0.05,0.08,5,0.9,23,7579.88,104.5,2506.39
190,25,0.05,0.08,5,0.9,18,7182.9,109.5,2390.72
191,23,0.2,0.14,2,0.6,13,9259.4,690,2713.23
192,23,0.15,0.14,5,0.7,13,8727.76,615.5,2813.38
193,24,0.05,0.11,8,0.9,28,8214.21,180.5,2929.28
194,24,0.05,0.11,8,0.9,23,7709,348.5,2774.57
195,23,0.15,0.14,5,0.7,23,8827.01,585,2843.02
196,23,0.15,0.14,5,0.7,18,8729.57,615.5,2813.92
197,23,0.1,0.14,8,0.8,28,8791.83,432,3099.5
198,23,0.1,0.14,8,0.8,23,8357.49,542,2968.04
199,23,0.1,0.14,8,0.8,18,8131.74,552.5,2897.09
200,24,0.05,0.05,11,0.6,13,9501.72,318.5,3485.8
201,23,0.1,0.14,8,0.8,13,8129.51,553,2896.39
202,24,0.05,0.05,11,0.6,18,9502.48,318.5,3486.03
203,23,0.15,0.14,5,0.7,28,9143.54,501,2938.75
204,24,0.05,0.05,11,0.6,23,9476.7,291.5,3480.63
205,24,0.05,0.11,8,0.9,18,7266.25,344.5,2645.77
206,24,0.05,0.05,11,0.6,28,9661.37,211.5,3535.43
207,24,0.05,0.11,8,0.9,13,7263.89,345,2645.05
208,23,0.05,0.14,11,0.9,18,7598.2,507.5,2989.97
209,23,0.05,0.14,11,0.9,23,8067.74,506,3124.54
210,23,0.05,0.14,11,0.9,28,8621.41,380,3304.99
211,23,0.05,0.08,14,0.6,13,9056.33,520,3613.25
212,23,0.05,0.08,14,0.6,28,9263.84,447,3682.78
213,23,0.05,0.08,14,0.6,18,9057.37,520,3613.6
214,23,0.05,0.08,14,0.6,23,9054.32,502.5,3617.18
215,23,0.05,0.14,11,0.9,13,7595.45,508.5,2989.07
216,22,0.1,0.14,11,0.9,18,8946.71,686,3401.52
217,22,0.1,0.14,11,0.9,23,9357.02,682,3524.21
218,23,0.05,0.08,5,0.7,13,8556.81,601.5,2884.53
219,22,0.1,0.14,11,0.9,28,9987.77,588,3735.15
220,23,0.05,0.08,5,0.7,18,8558.11,601.5,2884.94
221,23,0.05,0.08,5,0.7,23,8625.26,577,2908.36
222,23,0.05,0.08,5,0.7,28,8901.8,500,2991.22
223,22,0.05,0.11,8,0.7,28,9037.12,651.5,3305.02
224,22,0.05,0.11,8,0.7,23,8764.3,712,3214.42
225,22,0.05,0.11,8,0.7,18,8650.62,730.5,3177.21
226,22,0.05,0.11,8,0.7,13,8648.98,730.5,3176.66
227,22,0.1,0.14,11,0.9,13,8943.42,686,3400.42
228,22,0.15,0.05,11,0.8,23,12628.18,666,4460.33
229,22,0.15,0.05,11,0.8,28,13060.32,603,4600
230,22,0.15,0.05,11,0.8,13,12453.33,687,4406.07
231,22,0.15,0.05,11,0.8,18,12455.31,687,4406.71
232,23,0.05,0.05,14,0.8,13,10487.98,495,4038.56
233,23,0.05,0.05,14,0.8,18,10489.57,495,4039.08
234,23,0.05,0.05,14,0.8,23,10631.69,477,4084.07
235,23,0.05,0.05,14,0.8,28,11021.04,405,4208.41
236,23,0.2,0.05,11,0.9,13,12206.86,507.5,4181.45
237,23,0.2,0.05,11,0.9,28,13088.34,400,4453.51
238,23,0.2,0.05,11,0.9,23,12485.16,497,4267.31
239,23,0.2,0.05,11,0.9,18,12209.45,508,4182.23
240,22,0.15,0.08,2,0.7,28,10793.84,701,3320.8
241,22,0.15,0.08,2,0.7,18,10407.8,762.5,3201.02
242,22,0.15,0.08,2,0.7,23,10483.79,751,3224.92
243,22,0.15,0.08,2,0.7,13,10406.11,762.5,3200.49
244,22,0.05,0.05,2,0.7,18,10583.79,750.5,3379.46
245,24,0.15,0.08,2,0.8,28,9551.62,258,2826.91
246,22,0.2,0.08,14,0.9,28,12985.97,575,4699.61
247,22,0.05,0.05,2,0.7,13,10582.58,750.5,3379.06
248,22,0.2,0.08,14,0.9,23,12298.08,662.5,4475.09
249,24,0.15,0.08,2,0.8,23,9155.74,426,2711.57
250,22,0.2,0.08,14,0.9,18,11994.14,672.5,4380.69
251,24,0.15,0.08,2,0.8,18,8978.04,441,2659.45
252,24,0.15,0.08,2,0.8,13,8976.26,442,2658.94
253,22,0.2,0.08,14,0.9,13,11990.79,672.5,4379.6
254,25,0.1,0.05,2,0.9,18,8759.7,148.5,2612.05
255,25,0.1,0.05,2,0.9,13,8757.84,149.5,2611.54
256,25,0.1,0.05,2,0.9,28,9559.68,63.5,2841.96
257,25,0.1,0.05,2,0.9,23,9054.59,135.5,2698.22
258,24,0.1,0.08,5,0.9,28,9252.11,192.5,2990.35
259,23,0.15,0.11,5,0.8,28,9787.32,470,3136.17
260,23,0.15,0.11,5,0.8,23,9345.93,574,3001.58
261,23,0.15,0.11,5,0.8,18,9158.95,591.5,2945.04
262,23,0.15,0.11,5,0.8,13,9156.75,591.5,2944.38
263,24,0.1,0.08,5,0.9,13,8361.75,376,2726.15
264,24,0.1,0.08,5,0.9,23,8707.17,373,2832.82
265,24,0.1,0.08,5,0.9,18,8364.09,375,2726.83
266,23,0.1,0.11,8,0.9,28,9479.84,407,3308.01
267,23,0.1,0.11,8,0.9,23,8900.82,540.5,3129.17
268,22,0.15,0.14,8,0.8,28,10289.9,626.5,3549.48
269,22,0.15,0.14,8,0.8,23,9753.37,706.5,3386.18
270,22,0.15,0.14,8,0.8,18,9610.17,721.5,3331.69
271,22,0.15,0.14,8,0.8,13,9607.53,721.5,3330.84
272,23,0.1,0.11,8,0.9,18,8522.14,542,3012.58
273,23,0.1,0.11,8,0.9,13,8519.35,543.5,3011.71
274,22,0.1,0.11,5,0.6,28,9312.6,698.5,3124.03
275,25,0.05,0.05,14,0.8,28,9522.2,23.5,3636.39
276,22,0.1,0.11,5,0.6,18,9079.92,761.5,3048.92
277,25,0.05,0.05,14,0.8,23,9157.96,56.5,3528.85
278,22,0.1,0.11,5,0.6,23,9090.42,745,3054.67
279,22,0.1,0.11,5,0.6,13,9078.52,761,3048.46
280,25,0.05,0.05,14,0.8,18,9017.58,66,3487.23
281,25,0.05,0.05,14,0.8,13,9016.25,66,3486.83
282,22,0.2,0.05,8,0.7,13,12945.27,717,4296.45
283,22,0.2,0.05,8,0.7,18,12946.82,717,4296.94
284,22,0.2,0.05,8,0.7,23,13019.88,692.5,4320.06
285,22,0.2,0.05,8,0.7,28,13313.56,641.5,4413.16
286,22,0.1,0.05,14,0.9,13,11899.4,660.5,4497.65
287,22,0.1,0.05,14,0.9,18,11901.92,660,4498.5
288,22,0.1,0.05,14,0.9,23,12200.63,644.5,4590.36
289,22,0.1,0.05,14,0.9,28,12800.84,568.5,4790.63
290,23,0.2,0.08,2,0.9,28,11286.22,473.5,3328.05
291,23,0.2,0.08,2,0.9,23,10670.67,603.5,3142.82
292,23,0.1,0.05,11,0.7,13,10914.98,531.5,3917.57
293,23,0.2,0.08,2,0.9,18,10374.99,616,3050.56
294,23,0.2,0.08,2,0.9,13,10372.18,616,3049.74
295,23,0.1,0.05,11,0.7,28,11249.49,447.5,4022.23
296,23,0.1,0.05,11,0.7,18,10916.21,531.5,3917.96
297,23,0.1,0.05,11,0.7,23,10971.36,507.5,3936.24
298,22,0.2,0.11,5,0.9,28,11631.72,625,3689.33
299,22,0.2,0.11,5,0.9,23,10944.68,723,3471.46
300,22,0.2,0.11,5,0.9,18,10622.73,735,3370.03
301,22,0.2,0.11,5,0.9,13,10619.3,735,3368.97
302,24,0.05,0.05,2,0.7,13,9049.8,416,2781
303,24,0.05,0.05,2,0.7,18,9050.79,415.5,2781.29
304,24,0.05,0.05,2,0.7,23,9094.72,383,2794.42
305,24,0.05,0.05,2,0.7,28,9341.99,265.5,2866.82
306,23,0.1,0.08,2,0.6,23,8930.91,621.5,2752.48
307,23,0.1,0.08,2,0.6,28,9130.89,561,2811.51
308,23,0.1,0.08,2,0.6,13,8936.97,658,2753.37
309,23,0.1,0.08,2,0.6,18,8938.06,657.5,2753.7
310,25,0.1,0.05,11,0.7,13,9352.97,89,3353.07
311,25,0.1,0.05,11,0.7,18,9353.97,89,3353.36
312,25,0.1,0.05,11,0.7,23,9409.33,76,3369.44
313,26,0.1,0.11,14,0.7,23,7285.72,11.5,2918.95
314,26,0.1,0.11,14,0.7,18,7199.12,17.5,2894.2
315,26,0.1,0.11,14,0.7,13,7197.92,17.5,2893.86
316,25,0.1,0.05,11,0.7,28,9669.77,47,3444.47
317,26,0.1,0.11,14,0.7,28,7567.85,0,2999.89
318,26,0.15,0.05,5,0.6,13,8919.06,103.5,2768.94
319,24,0.1,0.08,14,0.7,18,9016.73,303,3493.05
320,26,0.15,0.05,5,0.6,18,8919.66,103.5,2769.1
321,24,0.1,0.08,14,0.7,13,9015.38,303,3492.64
322,26,0.15,0.05,5,0.6,23,8910.99,91.5,2765.19
323,26,0.15,0.05,5,0.6,28,9079.45,67,2811.63
324,24,0.1,0.08,14,0.7,28,9391.69,194,3606.6
325,24,0.1,0.08,14,0.7,23,9094.39,286.5,3517.1
326,25,0.15,0.08,8,0.6,13,8638.24,106.5,2904.29
327,25,0.15,0.08,8,0.6,18,8639.13,105.5,2904.54
328,25,0.15,0.08,8,0.6,23,8651.78,88.5,2907.29
329,25,0.15,0.08,8,0.6,28,8844.28,55.5,2962.09
330,23,0.15,0.14,14,0.6,28,9572.68,443,3648.4
331,24,0.15,0.11,11,0.6,13,8838.29,357.5,3186.27
332,23,0.15,0.14,14,0.6,23,9338.95,495.5,3575.47
333,23,0.15,0.14,14,0.6,18,9289.68,522,3558.76
334,24,0.15,0.11,11,0.6,18,8839.5,357.5,3186.63
335,23,0.15,0.14,14,0.6,13,9288.21,522.5,3558.29
336,24,0.15,0.11,11,0.6,23,8870.44,337,3195.93
337,24,0.15,0.11,11,0.6,28,9084.57,250,3259.44
338,26,0.2,0.08,8,0.7,18,8702.23,61.5,2846.58
339,26,0.2,0.08,8,0.7,13,8701.07,61.5,2846.26
340,26,0.2,0.08,8,0.7,28,9053.82,20,2943.35
341,26,0.2,0.08,8,0.7,23,8782.21,52.5,2868.21
342,25,0.2,0.11,11,0.7,13,8959.99,66,3130.64
343,25,0.2,0.11,11,0.7,23,9055.78,60,3157.79
344,25,0.2,0.11,11,0.7,18,8961.43,66.5,3131.05
345,25,0.2,0.11,11,0.7,28,9359.25,14,3244.88
346,24,0.2,0.14,14,0.7,18,9455.54,317,3495.38
347,24,0.2,0.14,14,0.7,13,9453.78,317,3494.86
348,24,0.2,0.14,14,0.7,28,9894.62,203.5,3626.88
349,24,0.2,0.14,14,0.7,23,9562.6,306.5,3527.3
350,25,0.15,0.05,8,0.6,23,9761.01,99.5,3230.48
351,25,0.15,0.05,8,0.6,28,9938.12,74.5,3280.93
352,25,0.15,0.05,8,0.6,13,9763.91,115,3232.33
353,25,0.15,0.05,8,0.6,18,9764.6,115,3232.52
354,25,0.15,0.14,14,0.6,13,8025.07,61,3105.9
355,25,0.15,0.14,14,0.6,23,8064.61,49,3117.78
356,25,0.15,0.14,14,0.6,18,8026.22,62,3106.24
357,25,0.15,0.14,14,0.6,28,8283.01,8,3181.65
358,23,0.2,0.11,11,0.7,28,10790.09,440.5,3748.7
359,23,0.2,0.11,11,0.7,23,10461.34,518,3647.82
360,24,0.2,0.08,8,0.7,13,10079.16,366,3301.03
361,24,0.2,0.08,8,0.7,18,10080.6,366,3301.45
362,23,0.2,0.11,11,0.7,18,10359.95,535.5,3616.93
363,23,0.2,0.11,11,0.7,13,10358.1,535,3616.37
364,24,0.2,0.08,8,0.7,23,10164.3,342.5,3325.45
365,24,0.2,0.08,8,0.7,28,10458.86,232.5,3411.55
366,22,0.2,0.14,14,0.7,28,11396.8,616,4194.47
367,22,0.2,0.14,14,0.7,23,11038.15,674,4078.32
368,22,0.2,0.14,14,0.7,18,10921.91,693,4040.45
369,22,0.2,0.14,14,0.7,13,10919.69,693,4039.72
370,25,0.2,0.11,2,0.9,28,9240.62,32.5,2639.42
371,25,0.2,0.11,2,0.9,23,8660.59,156.5,2476.48
372,22,0.05,0.05,2,0.7,28,10890.73,685,3478.92
373,25,0.2,0.11,2,0.9,18,8316.11,146,2375.5
374,22,0.05,0.05,2,0.7,23,10624.76,734,3394.33
375,25,0.2,0.11,2,0.9,13,8313.6,147,2374.82
376,24,0.2,0.14,5,0.9,28,9740.13,205,3005.17
377,24,0.2,0.14,5,0.9,18,8762.87,398.5,2717.2
378,24,0.2,0.14,5,0.9,23,9024.23,404,2811.69
379,24,0.2,0.14,5,0.9,13,8759.89,399.5,2716.36
380,24,0.2,0.05,8,0.7,28,11599.35,207,3752.26
381,24,0.2,0.05,8,0.7,18,11262.07,332,3654.19
382,24,0.2,0.05,8,0.7,23,11327.84,306.5,3672.81
383,24,0.2,0.05,8,0.7,13,11260.91,332,3653.85
384,23,0.2,0.08,11,0.7,28,11432.12,442.5,3945.3
385,23,0.2,0.08,11,0.7,23,11119.3,516.5,3849.55
386,24,0.1,0.05,14,0.9,23,10501.52,244,3925.82
387,24,0.15,0.05,11,0.8,18,10705.7,287.5,3742.51
388,24,0.1,0.05,14,0.9,18,10208.56,246,3839.37
389,24,0.15,0.05,11,0.8,13,10704.05,287.5,3742.02
390,24,0.1,0.05,14,0.9,28,11059.35,116.5,4095.18
391,24,0.15,0.05,11,0.8,28,11258,154.5,3906.82
392,24,0.1,0.05,14,0.9,13,10206.39,247,3838.72
393,24,0.15,0.05,11,0.8,23,10867.63,270.5,3790.24
394,23,0.2,0.08,11,0.7,18,11029.37,533,3822.13
395,23,0.2,0.08,11,0.7,13,11027.7,533.5,3821.62
396,22,0.2,0.11,14,0.7,23,11469.5,673,4214.58
397,26,0.15,0.11,11,0.6,18,7616.01,42.5,2774.07
398,26,0.15,0.11,11,0.6,13,7615.12,42,2773.82
399,22,0.2,0.11,14,0.7,18,11360.5,688.5,4178.95
400,26,0.15,0.11,11,0.6,28,7838.47,10,2835.99
401,22,0.2,0.11,14,0.7,28,11816.7,617,4327.12
402,26,0.15,0.11,11,0.6,23,7640.19,31,2780.31
403,23,0.15,0.08,14,0.8,13,10437.8,501.5,3909.97
404,25,0.2,0.05,5,0.7,13,10319.47,134.5,3149.89
405,25,0.2,0.05,5,0.7,18,10320.54,134.5,3150.19
406,25,0.2,0.05,5,0.7,23,10382.08,115.5,3166.79
407,25,0.2,0.05,5,0.7,28,10638.65,80,3239.09
408,23,0.15,0.08,14,0.8,28,11064.21,401.5,4105.21
409,23,0.15,0.08,14,0.8,23,10618.85,484,3965.32
410,23,0.15,0.08,14,0.8,18,10439.95,501.5,3910.65
411,22,0.2,0.11,14,0.7,13,11358.42,688.5,4178.27
412,24,0.15,0.11,2,0.8,13,8327.87,465,2465.67
413,26,0.2,0.11,14,0.9,13,8422.6,12,3144.54
414,24,0.15,0.11,2,0.8,23,8516.73,455,2521.12
415,26,0.2,0.11,14,0.9,18,8425.15,12,3145.25
416,26,0.2,0.11,14,0.9,23,8752.2,9,3238.58
417,24,0.15,0.11,2,0.8,18,8329.81,465,2466.23
418,24,0.15,0.11,2,0.8,28,8928.88,269.5,2641.14
419,24,0.1,0.05,8,0.6,18,9883.73,343.5,3360.45
420,23,0.15,0.14,5,0.8,18,8727.51,593.5,2812.9
421,23,0.15,0.14,5,0.8,13,8725.19,593.5,2812.2
