Tmin (C ),Subcooling  (oC),System pressure (MPa),Material ,L/D,_f,_w,_f/_w
562.3847694,0,0.505748845,1018 carbon steel,6.68,2691956.282,1.62E+08,0.016617014
564.0724791,0,0.549514908,1018 carbon steel,6.68,2685997.935,1.62E+08,0.016580234
555.9152154,0,0.505748845,1018 carbon steel,6.68,2691956.282,1.62E+08,0.016617014
492.3448152,0,0.252207518,1018 carbon steel,6.68,2728655.463,1.62E+08,0.016843552
478.8431373,0,0.249189169,1018 carbon steel,6.68,2729092.913,1.62E+08,0.016846253
431.0246947,0,0.268808439,1018 carbon steel,6.68,2726231.543,1.62E+08,0.01682859
429.3369849,0,0.271826788,1018 carbon steel,6.68,2725788.213,1.62E+08,0.016825853
423.9925707,0,0.267299264,1018 carbon steel,6.68,2726452.952,1.62E+08,0.016829956
419.7732964,0,0.270317613,1018 carbon steel,6.68,2726009.96,1.62E+08,0.016827222
416.6791619,0,0.270317613,1018 carbon steel,6.68,2726009.96,1.62E+08,0.016827222
387.7068113,0,0.114872633,1018 carbon steel,6.68,2744155.3,1.62E+08,0.01693923
385.4565317,0,0.116381807,1018 carbon steel,6.68,2744108.477,1.62E+08,0.016938941
383.7688219,0,0.116381807,1018 carbon steel,6.68,2744108.477,1.62E+08,0.016938941
381.2372573,0,0.113363458,1018 carbon steel,6.68,2744195.688,1.62E+08,0.01693948
334.5439545,0,0.108835934,1018 carbon steel,6.68,2744275.574,1.62E+08,0.016939973
330.8872501,0,0.110345109,1018 carbon steel,6.68,2744256.104,1.62E+08,0.016939852
372.9865,0,0.1,Zirconium,6.35,2744237.67,2.30E+07,0.119314681
399.6107,0,0.1,Zirconium,6.35,2744237.67,2.30E+07,0.119314681
388.961,0.323327,0.1,Zirconium,6.35,2744226.276,2.30E+07,0.119314186
396.9482,0.447786,0.1,Zirconium,6.35,2744221.527,2.30E+07,0.119313979
395.1733,0.945622,0.1,Zirconium,6.35,2744200.507,2.30E+07,0.119313066
393.3984,1.19454,0.1,Zirconium,6.35,2744188.78,2.30E+07,0.119312556
398.7232,1.412343,0.1,Zirconium,6.35,2744177.852,2.30E+07,0.119312081
443.0968,1.78572,0.1,Zirconium,6.35,2744157.666,2.30E+07,0.119311203
526.5193,1.754605,0.1,Zirconium,6.35,2744159.418,2.30E+07,0.119311279
531.8442,2.096867,0.1,Zirconium,6.35,2744139.441,2.30E+07,0.11931041
491.9079,7.261915,0.1,Zirconium,6.35,2743647.631,2.30E+07,0.119289027
541.6064,8.506505,0.1,Zirconium,6.35,2743474.81,2.30E+07,0.119281513
588.6424,9.688866,0.1,Zirconium,6.35,2743290.707,2.30E+07,0.119273509
616.1541,11.08903,0.1,Zirconium,6.35,2743047.337,2.30E+07,0.119262928
612.6042,14.2005,0.1,Zirconium,6.35,2742406.631,2.30E+07,0.119235071
648.9906,16.0985,0.1,Zirconium,6.35,2741947.017,2.30E+07,0.119215088
631.2412,16.90749,0.1,Zirconium,6.35,2741735.033,2.30E+07,0.119205871
657.8653,18.68103,0.1,Zirconium,6.35,2741236.275,2.30E+07,0.119184186
380.0862566,0,0.1,316 stainless steel,63.5,2744237.67,5.10E+07,0.053808582
367.6616328,0.012179332,0.1,317 stainless steel,63.5,2744237.266,5.10E+07,0.053808574
405.8229773,0.852277502,0.1,318 stainless steel,63.5,2744204.695,5.10E+07,0.053807935
482.1456662,5.301686329,0.1,319 stainless steel,63.5,2743876.701,5.10E+07,0.053801504
491.9078706,7.604177609,0.1,320 stainless steel,63.5,2743602.238,5.10E+07,0.053796122
560.2433013,13.76489752,0.1,321 stainless steel,63.5,2742504.711,5.10E+07,0.053774602
600.1795921,20.17453541,0.1,322 stainless steel,63.5,2740779.638,5.10E+07,0.053740777
591.3048608,30.84689365,0.1,323 stainless steel,63.5,2736506.059,5.10E+07,0.053656982
365.6401663,0.11935235,0.1,1018 carbon steel,6.68,2744233.623,1.62E+08,0.016939714
367.4890686,0.313819519,0.1,1019 carbon steel,6.68,2744226.63,1.62E+08,0.016939671
364.4075647,0.400249372,0.1,1020 carbon steel,6.68,2744223.364,1.62E+08,0.01693965
332.359924,0.400249372,0.1,1021 carbon steel,6.68,2744223.364,1.62E+08,0.01693965
381.0476858,1.350977753,0.1,1022 carbon steel,6.68,2744180.994,1.62E+08,0.016939389
384.1291898,1.070080732,0.1,1023 carbon steel,6.68,2744194.745,1.62E+08,0.016939474
384.1291898,1.178118048,0.1,1024 carbon steel,6.68,2744189.578,1.62E+08,0.016939442
443.9103657,2.517780767,0.1,1025 carbon steel,6.68,2744112.75,1.62E+08,0.016938968
443.9103657,4.937816648,0.1,1026 carbon steel,6.68,2743913.471,1.62E+08,0.016937737
473.4928032,7.076955507,0.1,1027 carbon steel,6.68,2743671.491,1.62E+08,0.016936244
494.4470298,6.039797272,0.1,1028 carbon steel,6.68,2743796.6,1.62E+08,0.016937016
553.6119049,7.16338536,0.1,1029 carbon steel,6.68,2743660.4,1.62E+08,0.016936175
564.0890182,11.16076606,0.1,1030 carbon steel,6.68,2743034.123,1.62E+08,0.016932309
567.1705221,13.99134374,0.1,1031 carbon steel,6.68,2742454.068,1.62E+08,0.016928729
592.4388542,20.12786329,0.1,1032 carbon steel,6.68,2740794.419,1.62E+08,0.016918484
610.9278777,20.73287226,0.1,1033 carbon steel,6.68,2740600.241,1.62E+08,0.016917285
609.0789753,30.32658593,0.1,1034 carbon steel,6.68,2736756.76,1.62E+08,0.01689356
274.68,2.386115,0.1,Inconel,2.67,2744121.351,85592111.22,0.032060447
322.77,4.463594,0.1,Inconel,2.67,2743958.708,85592111.22,0.032058547
286.24,5.558015,0.1,Inconel,2.67,2743849.723,85592111.22,0.032057274
299.18,5.133328,0.1,Inconel,2.67,2743893.937,85592111.22,0.03205779
333.79,10.0985,0.1,Inconel,2.67,2743222.363,85592111.22,0.032049944
260.89,2.759428,0.1,Inconel,2.67,2744096.365,85592111.22,0.032060155
359.43,5.276989,0.1,Zirconium,2.67,2743879.254,41460642,0.066180337
350.82,5.276989,0.1,Zirconium,2.67,2743879.254,41460642,0.066180337
413.33,9.577287,0.1,Zirconium,2.67,2743308.915,41460642,0.066166581
406.7,9.577287,0.1,Zirconium,2.67,2743308.915,41460642,0.066166581
391.01,9.577287,0.1,Zirconium,2.67,2743308.915,41460642,0.066166581
474.23,15.0359,0.1,Zirconium,2.67,2742210.821,41460642,0.066140095
356.29,9.147093,0.1,Stainless steel ,2.67,2743377.486,51662145.6,0.053102275
305.63,5.098822,0.1,Stainless steel ,2.67,2743897.422,51662145.6,0.05311234
302.59,2.089949,0.1,Stainless steel ,2.67,2744139.86,51662145.6,0.053117032
413.47,14.38229,0.1,Stainless steel ,2.67,2742364.886,51662145.6,0.053082675
372.15,9.948659,0.1,Stainless steel ,2.67,2743247.636,51662145.6,0.053099762
322.3,4.193676,0.1,Stainless steel ,2.67,2743983.103,51662145.6,0.053113998
310.77,2.159465,0.1,Stainless steel ,2.67,2744135.62,51662145.6,0.05311695
438.49,14.38229,0.1,Stainless steel ,2.67,2742364.886,51662145.6,0.053082675
354.14,9.948659,0.1,Stainless steel ,2.67,2743247.636,51662145.6,0.053099762
330.61,4.193676,0.1,Stainless steel ,2.67,2743983.103,51662145.6,0.053113998
309.98,2.159465,0.1,Stainless steel ,2.67,2744135.62,51662145.6,0.05311695
432.98,14.38229,0.1,Stainless steel ,2.67,2742364.886,51662145.6,0.053082675
350.04,9.948659,0.1,Stainless steel ,2.67,2743247.636,51662145.6,0.053099762
316.52,4.193676,0.1,Stainless steel ,2.67,2743983.103,51662145.6,0.053113998
311.84,2.159465,0.1,Stainless steel ,2.67,2744135.62,51662145.6,0.05311695
439,14.95793,0.1,Stainless steel ,2.67,2742229.527,51662145.6,0.053080055
372.02,8.984661,0.1,Stainless steel ,2.67,2743402.705,51662145.6,0.053102764
340,4.749727,0.1,Stainless steel ,2.67,2743931.776,51662145.6,0.053113005
316.2,1.885201,0.1,Stainless steel ,2.67,2744151.978,51662145.6,0.053117267
403.4,14.95793,0.1,Stainless steel ,2.67,2742229.527,51662145.6,0.053080055
354.98,8.984661,0.1,Stainless steel ,2.67,2743402.705,51662145.6,0.053102764
288.12,4.749727,0.1,Stainless steel ,2.67,2743931.776,51662145.6,0.053113005
289.93,1.885201,0.1,Stainless steel ,2.67,2744151.978,51662145.6,0.053117267
413.27,14.95793,0.1,Stainless steel ,2.67,2742229.527,51662145.6,0.053080055
406.42,14.77437,0.1,Stainless steel ,2.67,2742273.214,51662145.6,0.053080901
355.42,9.926813,0.1,Stainless steel ,2.67,2743251.294,51662145.6,0.053099833
297.43,4.497781,0.1,Stainless steel ,2.67,2743955.548,51662145.6,0.053113465
296.11,1.904639,0.1,Stainless steel ,2.67,2744150.852,51662145.6,0.053117245
410.48,14.77437,0.1,Stainless steel ,2.67,2742273.214,51662145.6,0.053080901
363.11,9.926813,0.1,Stainless steel ,2.67,2743251.294,51662145.6,0.053099833
314.19,4.497781,0.1,Stainless steel ,2.67,2743955.548,51662145.6,0.053113465
304.08,1.904639,0.1,Stainless steel ,2.67,2744150.852,51662145.6,0.053117245
427.91,14.77437,0.1,Stainless steel ,2.67,2742273.214,51662145.6,0.053080901
353.5,9.926813,0.1,Stainless steel ,2.67,2743251.294,51662145.6,0.053099833
